DateTime	WindDirection (Deg)	WindSpeed (m/s)	U	V
2024-07-30 16:26:25	207	0.03	0.0267	0.0136
2024-07-30 16:26:26	207	0.02	0.0178	0.0091
2024-07-30 16:26:27	207	0.01	0.0089	0.0045
2024-07-30 16:26:28	207	0.03	0.0267	0.0136
2024-07-30 16:26:29	207	0.02	0.0178	0.0091
2024-07-30 16:26:30	207	0.02	0.0178	0.0091
2024-07-30 16:26:31	207	0.02	0.0178	0.0091
2024-07-30 16:26:32	207	0.03	0.0267	0.0136
2024-07-30 16:26:33	207	0.02	0.0178	0.0091
2024-07-30 16:26:34	207	0.02	0.0178	0.0091
2024-07-30 16:26:35	207	0.04	0.0356	0.0182
2024-07-30 16:26:36	74	0.05	-0.0138	-0.0481
2024-07-30 16:26:37	78	0.05	-0.0104	-0.0489
2024-07-30 16:26:38	86	0.06	-0.0042	-0.0599
2024-07-30 16:26:39	86	0.04	-0.0028	-0.0399
2024-07-30 16:26:40	86	0.01	-0.0007	-0.01
2024-07-30 16:26:41	86	0.02	-0.0014	-0.02
2024-07-30 16:26:42	86	0.04	-0.0028	-0.0399
2024-07-30 16:26:43	122	0.05	0.0265	-0.0424
2024-07-30 16:26:44	122	0.04	0.0212	-0.0339
2024-07-30 16:26:45	122	0.02	0.0106	-0.017
2024-07-30 16:26:46	122	0.01	0.0053	-0.0085
2024-07-30 16:26:47	122	0.01	0.0053	-0.0085
2024-07-30 16:26:48	122	0.0	0.0	-0.0
2024-07-30 16:26:49	122	0.01	0.0053	-0.0085
2024-07-30 16:26:50	122	0.01	0.0053	-0.0085
2024-07-30 16:26:51	122	0.01	0.0053	-0.0085
2024-07-30 16:26:52	122	0.03	0.0159	-0.0254
2024-07-30 16:26:53	122	0.02	0.0106	-0.017
2024-07-30 16:26:54	122	0.01	0.0053	-0.0085
2024-07-30 16:26:55	122	0.01	0.0053	-0.0085
2024-07-30 16:26:56	122	0.01	0.0053	-0.0085
2024-07-30 16:26:57	122	0.01	0.0053	-0.0085
2024-07-30 16:26:58	122	0.02	0.0106	-0.017
2024-07-30 16:26:59	122	0.02	0.0106	-0.017
2024-07-30 16:27:00	122	0.0	0.0	-0.0
2024-07-30 16:27:01	122	0.01	0.0053	-0.0085
2024-07-30 16:27:02	122	0.0	0.0	-0.0
2024-07-30 16:27:03	122	0.01	0.0053	-0.0085
2024-07-30 16:27:04	122	0.0	0.0	-0.0
2024-07-30 16:27:05	122	0.0	0.0	-0.0
2024-07-30 16:27:06	122	0.0	0.0	-0.0
2024-07-30 16:27:07	122	0.0	0.0	-0.0
2024-07-30 16:27:08	122	0.01	0.0053	-0.0085
2024-07-30 16:27:09	122	0.02	0.0106	-0.017
2024-07-30 16:27:10	122	0.02	0.0106	-0.017
2024-07-30 16:27:11	122	0.03	0.0159	-0.0254
2024-07-30 16:27:12	122	0.02	0.0106	-0.017
2024-07-30 16:27:13	122	0.01	0.0053	-0.0085
2024-07-30 16:27:14	122	0.0	0.0	-0.0
2024-07-30 16:27:15	122	0.02	0.0106	-0.017
2024-07-30 16:27:16	122	0.01	0.0053	-0.0085
2024-07-30 16:27:17	122	0.0	0.0	-0.0
2024-07-30 16:27:18	122	0.0	0.0	-0.0
2024-07-30 16:27:19	122	0.02	0.0106	-0.017
2024-07-30 16:27:20	122	0.01	0.0053	-0.0085
2024-07-30 16:27:21	122	0.02	0.0106	-0.017
2024-07-30 16:27:22	122	0.03	0.0159	-0.0254
2024-07-30 16:27:23	122	0.03	0.0159	-0.0254
2024-07-30 16:27:24	122	0.02	0.0106	-0.017
2024-07-30 16:27:25	122	0.02	0.0106	-0.017
2024-07-30 16:27:26	122	0.04	0.0212	-0.0339
2024-07-30 16:27:27	122	0.03	0.0159	-0.0254
2024-07-30 16:27:28	122	0.02	0.0106	-0.017
2024-07-30 16:27:29	122	0.03	0.0159	-0.0254
2024-07-30 16:27:30	122	0.01	0.0053	-0.0085
2024-07-30 16:27:31	122	0.01	0.0053	-0.0085
2024-07-30 16:27:32	122	0.02	0.0106	-0.017
2024-07-30 16:27:33	122	0.0	0.0	-0.0
2024-07-30 16:27:34	122	0.03	0.0159	-0.0254
2024-07-30 16:27:35	122	0.03	0.0159	-0.0254
2024-07-30 16:27:36	122	0.0	0.0	-0.0
2024-07-30 16:27:37	122	0.0	0.0	-0.0
2024-07-30 16:27:38	122	0.0	0.0	-0.0
2024-07-30 16:27:39	122	0.02	0.0106	-0.017
2024-07-30 16:27:40	122	0.03	0.0159	-0.0254
2024-07-30 16:27:41	222	0.05	0.0372	0.0335
2024-07-30 16:27:42	208	0.05	0.0441	0.0235
2024-07-30 16:27:43	196	0.05	0.0481	0.0138
2024-07-30 16:27:44	201	0.05	0.0467	0.0179
2024-07-30 16:27:45	201	0.04	0.0373	0.0143
2024-07-30 16:27:46	207	0.04	0.0356	0.0182
2024-07-30 16:27:47	201	0.06	0.056	0.0215
2024-07-30 16:27:48	207	0.05	0.0446	0.0227
2024-07-30 16:27:49	218	0.06	0.0473	0.0369
2024-07-30 16:27:50	208	0.05	0.0441	0.0235
2024-07-30 16:27:51	203	0.05	0.046	0.0195
2024-07-30 16:27:52	203	0.03	0.0276	0.0117
2024-07-30 16:27:53	203	0.04	0.0368	0.0156
2024-07-30 16:27:54	188	0.05	0.0495	0.007
2024-07-30 16:27:55	188	0.04	0.0396	0.0056
2024-07-30 16:27:56	188	0.02	0.0198	0.0028
2024-07-30 16:27:57	188	0.0	0.0	0.0
2024-07-30 16:27:58	188	0.0	0.0	0.0
2024-07-30 16:27:59	188	0.0	0.0	0.0
2024-07-30 16:28:00	188	0.01	0.0099	0.0014
2024-07-30 16:28:01	188	0.0	0.0	0.0
2024-07-30 16:28:02	188	0.0	0.0	0.0
2024-07-30 16:28:03	188	0.01	0.0099	0.0014
2024-07-30 16:28:04	188	0.0	0.0	0.0
2024-07-30 16:28:05	188	0.0	0.0	0.0
2024-07-30 16:28:06	188	0.0	0.0	0.0
2024-07-30 16:28:07	188	0.01	0.0099	0.0014
2024-07-30 16:28:08	188	0.02	0.0198	0.0028
2024-07-30 16:28:09	188	0.02	0.0198	0.0028
2024-07-30 16:28:10	188	0.03	0.0297	0.0042
2024-07-30 16:28:11	188	0.04	0.0396	0.0056
2024-07-30 16:28:12	188	0.03	0.0297	0.0042
2024-07-30 16:28:13	188	0.04	0.0396	0.0056
2024-07-30 16:28:14	99	0.05	0.0078	-0.0494
2024-07-30 16:28:15	90	0.05	-0.0	-0.05
2024-07-30 16:28:16	122	0.05	0.0265	-0.0424
2024-07-30 16:28:17	122	0.03	0.0159	-0.0254
2024-07-30 16:28:18	122	0.04	0.0212	-0.0339
2024-07-30 16:28:19	122	0.03	0.0159	-0.0254
2024-07-30 16:28:20	122	0.03	0.0159	-0.0254
2024-07-30 16:28:21	122	0.02	0.0106	-0.017
2024-07-30 16:28:22	122	0.01	0.0053	-0.0085
2024-07-30 16:28:23	122	0.01	0.0053	-0.0085
2024-07-30 16:28:24	122	0.01	0.0053	-0.0085
2024-07-30 16:28:25	122	0.01	0.0053	-0.0085
2024-07-30 16:28:26	122	0.0	0.0	-0.0
2024-07-30 16:28:27	122	0.0	0.0	-0.0
2024-07-30 16:28:28	122	0.0	0.0	-0.0
2024-07-30 16:28:29	122	0.0	0.0	-0.0
2024-07-30 16:28:30	122	0.0	0.0	-0.0
2024-07-30 16:28:31	122	0.0	0.0	-0.0
2024-07-30 16:28:32	122	0.0	0.0	-0.0
2024-07-30 16:28:33	122	0.0	0.0	-0.0
2024-07-30 16:28:34	122	0.01	0.0053	-0.0085
2024-07-30 16:28:35	122	0.01	0.0053	-0.0085
2024-07-30 16:28:36	122	0.01	0.0053	-0.0085
2024-07-30 16:28:37	122	0.02	0.0106	-0.017
2024-07-30 16:28:38	122	0.02	0.0106	-0.017
2024-07-30 16:28:39	122	0.02	0.0106	-0.017
2024-07-30 16:28:40	122	0.02	0.0106	-0.017
2024-07-30 16:28:41	122	0.02	0.0106	-0.017
2024-07-30 16:28:42	122	0.02	0.0106	-0.017
2024-07-30 16:28:43	122	0.02	0.0106	-0.017
2024-07-30 16:28:44	122	0.03	0.0159	-0.0254
2024-07-30 16:28:45	122	0.03	0.0159	-0.0254
2024-07-30 16:28:46	122	0.02	0.0106	-0.017
2024-07-30 16:28:47	122	0.03	0.0159	-0.0254
2024-07-30 16:28:48	122	0.03	0.0159	-0.0254
2024-07-30 16:28:49	122	0.04	0.0212	-0.0339
2024-07-30 16:28:50	122	0.02	0.0106	-0.017
2024-07-30 16:28:51	122	0.02	0.0106	-0.017
2024-07-30 16:28:52	122	0.03	0.0159	-0.0254
2024-07-30 16:28:53	122	0.01	0.0053	-0.0085
2024-07-30 16:28:54	122	0.02	0.0106	-0.017
2024-07-30 16:28:55	122	0.03	0.0159	-0.0254
2024-07-30 16:28:56	122	0.04	0.0212	-0.0339
2024-07-30 16:28:57	122	0.04	0.0212	-0.0339
